OrderNumber,QuantityOrdered,PriceEach,OrderLineNumber,Sales,Exact Sales,Status,QTR_ID,DAY_ID,MONTH_ID,YEAR_ID,ProductCode,CustomerName,Phone,AddressLine1,City,PostalCode,Country,Territory,Branch,CostPrice,ProductLine,MSRP,ContactName,Total Profit,Discount,Discount Rate
10103,25,100.0,15,2873.0,2500.0,Shipped,1,29,1,2022,S24_4258,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Skates Road,65.0,Vintage Cars,97,Jonas Bergulfsen,875.0,-3.0,-3.0927835051546393
10103,46,100.0,16,4791.82,4600.0,Shipped,1,29,1,2022,S18_3320,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Bergenville,65.0,Vintage Cars,99,Jonas Bergulfsen,1610.0,-1.0,-1.0101010101010102
10104,34,100.0,1,5958.5,3400.0,Shipped,1,31,1,2022,S12_3148,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal  86,Madrid,28034,Spain,EMEA,Bergenville,65.0,Classic Cars,151,Diego Freyre,1190.0,51.0,33.77483443708609
10104,32,53.31,2,1705.92,1705.92,Shipped,1,31,1,2022,S50_1514,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal  86,Madrid,28034,Spain,EMEA,Skates Road,34.6515,Trains,58,Diego Freyre,597.0720000000001,4.689999999999998,8.08620689655172
10104,38,100.0,3,5348.5,3800.0,Shipped,1,31,1,2022,S18_4027,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal  86,Madrid,28034,Spain,EMEA,Bergenville,65.0,Classic Cars,143,Diego Freyre,1330.0,43.0,30.069930069930066
10104,49,65.87,4,3227.63,3227.63,Shipped,1,31,1,2022,S32_3207,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal  86,Madrid,28034,Spain,EMEA,Bergenville,42.8155,Trains,62,Diego Freyre,1129.6705000000002,-3.8700000000000045,-6.241935483870975
10104,26,100.0,5,2921.62,2600.0,Shipped,1,31,1,2022,S24_4048,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal  86,Madrid,28034,Spain,EMEA,Skates Road,65.0,Classic Cars,118,Diego Freyre,910.0,18.0,15.254237288135593
10104,35,55.49,6,1942.15,1942.15,Shipped,1,31,1,2022,S24_1444,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal  86,Madrid,28034,Spain,EMEA,Skates Road,36.0685,Classic Cars,57,Diego Freyre,679.7525,1.509999999999998,2.64912280701754
10104,33,100.0,7,3705.24,3300.0,Shipped,1,31,1,2022,S50_1392,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal  86,Madrid,28034,Spain,EMEA,Bergenville,65.0,Trucks and Buses,115,Diego Freyre,1155.0,15.0,13.043478260869565
10104,24,100.0,8,3457.92,2400.0,Shipped,1,31,1,2022,S18_2238,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal  86,Madrid,28034,Spain,EMEA,Bergenville,65.0,Classic Cars,163,Diego Freyre,840.0,63.0,38.65030674846626
10104,41,100.0,9,4615.78,4100.0,Shipped,1,31,1,2022,S12_4473,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal  86,Madrid,28034,Spain,EMEA,Bergenville,65.0,Trucks and Buses,118,Diego Freyre,1435.0,18.0,15.254237288135593
10104,44,39.6,10,1742.4,1742.4,Shipped,1,31,1,2022,S24_2840,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal  86,Madrid,28034,Spain,EMEA,Skates Road,25.74,Classic Cars,35,Diego Freyre,609.8400000000001,-4.600000000000001,-13.142857142857148
10104,35,47.62,11,1666.7,1666.6999999999998,Shipped,1,31,1,2022,S32_2509,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal  86,Madrid,28034,Spain,EMEA,Skates Road,30.953,Trucks and Buses,54,Diego Freyre,583.3449999999999,6.380000000000003,11.81481481481482
10104,29,100.0,12,3772.61,2900.0,Shipped,1,31,1,2022,S18_2319,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal  86,Madrid,28034,Spain,EMEA,Bergenville,65.0,Trucks and Buses,122,Diego Freyre,1015.0,22.0,18.0327868852459
10104,23,100.0,13,4556.99,2300.0,Shipped,1,31,1,2022,S18_3232,Euro Shopping Channel,(91) 555 94 44,C/ Moralzarzal  86,Madrid,28034,Spain,EMEA,Bergenville,65.0,Classic Cars,169,Diego Freyre,805.0,69.0,40.828402366863905
10105,50,79.67,1,3983.5,3983.5,Shipped,1,11,2,2022,S24_3816,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Bergenville,51.7855,Vintage Cars,83,Jytte Petersen,1394.2250000000001,3.3299999999999983,4.012048192771083
10105,50,100.0,2,7208.0,5000.0,Shipped,1,11,2,2022,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Geiselweg,65.0,Classic Cars,136,Jytte Petersen,1750.0,36.0,26.47058823529412
10105,31,65.77,3,2038.87,2038.87,Shipped,1,11,2,2022,S700_2610,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Skates Road,42.7505,Ships,72,Jytte Petersen,713.6044999999998,6.230000000000004,8.652777777777782
10105,44,72.58,4,3193.52,3193.52,Shipped,1,11,2,2022,S24_3151,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Bergenville,47.177,Vintage Cars,88,Jytte Petersen,1117.732,15.420000000000002,17.522727272727277
10105,41,70.67,5,2897.47,2897.4700000000003,Shipped,1,11,2,2022,S700_1138,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Skates Road,45.9355,Ships,66,Jytte Petersen,1014.1145000000001,-4.670000000000002,-7.075757575757578
10105,39,81.14,6,3164.46,3164.46,Shipped,1,11,2,2022,S700_3505,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Bergenville,52.741,Ships,100,Jytte Petersen,1107.5610000000001,18.86,18.86
10105,22,100.0,7,2556.18,2200.0,Shipped,1,11,2,2022,S700_3962,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Skates Road,65.0,Ships,99,Jytte Petersen,770.0,-1.0,-1.0101010101010102
10105,25,56.78,8,1419.5,1419.5,Shipped,1,11,2,2022,S72_3212,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Skates Road,36.907,Ships,54,Jytte Petersen,496.8250000000001,-2.780000000000001,-5.148148148148151
10105,43,100.0,9,6341.21,4300.0,Shipped,1,11,2,2022,S24_2011,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Bergenville,65.0,Ships,122,Jytte Petersen,1505.0,22.0,18.0327868852459
10105,41,82.5,10,3382.5,3382.5,Shipped,1,11,2,2022,S18_4522,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Bergenville,53.625,Vintage Cars,87,Jytte Petersen,1183.875,4.5,5.172413793103448
10105,22,100.0,11,3065.04,2200.0,Shipped,1,11,2,2022,S18_3140,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Bergenville,65.0,Vintage Cars,136,Jytte Petersen,770.0,36.0,26.47058823529412
10105,29,70.15,12,2034.35,2034.3500000000001,Shipped,1,11,2,2022,S700_1938,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Skates Road,45.5975,Ships,86,Jytte Petersen,712.0225000000003,15.849999999999994,18.43023255813953
10105,38,100.0,13,4330.1,3800.0,Shipped,1,11,2,2022,S18_3259,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Bergenville,65.0,Trains,100,Jytte Petersen,1330.0,0.0,0.0
10105,29,100.0,14,4566.05,2900.0,Shipped,1,11,2,2022,S12_3891,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Bergenville,65.0,Classic Cars,173,Jytte Petersen,1015.0,73.0,42.19653179190752
10105,41,100.0,15,8690.36,4100.0,Shipped,1,11,2,2022,S12_1108,Danish Wholesale Imports,31 12 3555,Vinb ltet 34,Kobenhavn,1734,Denmark,EMEA,Geiselweg,65.0,Classic Cars,207,Jytte Petersen,1435.0,107.0,51.690821256038646
10106,32,100.0,1,3986.56,3200.0,Shipped,1,17,2,2022,S700_2834,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Bergenville,65.0,Planes,118,Giovanni Rovelli,1120.0,18.0,15.254237288135593
10106,34,90.39,2,3073.26,3073.26,Shipped,1,17,2,2022,S18_2581,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Bergenville,58.7535,Planes,84,Giovanni Rovelli,1075.6409999999998,-6.390000000000001,-7.6071428571428585
10106,26,63.76,3,1657.76,1657.76,Shipped,1,17,2,2022,S24_4278,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Skates Road,41.444,Planes,72,Giovanni Rovelli,580.2159999999999,8.240000000000002,11.444444444444448
10106,28,88.63,4,2481.64,2481.64,Shipped,1,17,2,2022,S24_1785,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Skates Road,57.6095,Planes,109,Giovanni Rovelli,868.574,20.370000000000005,18.688073394495415
10106,33,72.92,5,2406.36,2406.36,Shipped,1,17,2,2022,S32_4289,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Skates Road,47.398,Vintage Cars,68,Giovanni Rovelli,842.226,-4.920000000000002,-7.2352941176470615
10106,39,40.15,6,1565.85,1565.85,Shipped,1,17,2,2022,S50_1341,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Skates Road,26.0975,Vintage Cars,43,Giovanni Rovelli,548.0474999999999,2.8500000000000014,6.62790697674419
10106,31,100.0,7,3312.97,3100.0,Shipped,1,17,2,2022,S700_1691,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Bergenville,65.0,Planes,91,Giovanni Rovelli,1085.0,-9.0,-9.89010989010989
10106,44,74.4,8,3273.6,3273.6000000000004,Shipped,1,17,2,2022,S700_3167,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Bergenville,48.36,Planes,80,Giovanni Rovelli,1145.7600000000002,5.599999999999994,6.999999999999992
10106,34,100.0,9,3763.46,3400.0,Shipped,1,17,2,2022,S700_2466,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Bergenville,65.0,Planes,99,Giovanni Rovelli,1190.0,-1.0,-1.0101010101010102
10106,48,61.44,10,2949.12,2949.12,Shipped,1,17,2,2022,S700_4002,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Skates Road,39.936,Planes,74,Giovanni Rovelli,1032.192,12.560000000000002,16.972972972972975
10106,50,64.83,11,3241.5,3241.5,Shipped,1,17,2,2022,S24_3949,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Bergenville,42.1395,Planes,68,Giovanni Rovelli,1134.525,3.1700000000000017,4.661764705882356
10106,36,100.0,12,5279.4,3600.0,Shipped,1,17,2,2022,S18_1662,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Bergenville,65.0,Planes,157,Giovanni Rovelli,1260.0,57.0,36.30573248407643
10106,49,74.68,13,3659.32,3659.32,Shipped,1,17,2,2022,S24_2841,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Bergenville,48.542,Planes,68,Giovanni Rovelli,1280.7620000000002,-6.680000000000007,-9.823529411764715
10106,31,52.6,14,1630.6,1630.6000000000001,Shipped,1,17,2,2022,S24_3420,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Skates Road,34.19,Vintage Cars,65,Giovanni Rovelli,570.7100000000002,12.399999999999999,19.076923076923073
10106,48,52.64,15,2526.72,2526.7200000000003,Shipped,1,17,2,2022,S72_1253,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Skates Road,34.216,Planes,49,Giovanni Rovelli,884.352,-3.6400000000000006,-7.428571428571431
10106,30,100.0,16,3177.3,3000.0,Shipped,1,17,2,2022,S700_2047,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Bergenville,65.0,Ships,90,Giovanni Rovelli,1050.0,-10.0,-11.11111111111111
10106,41,100.0,17,4774.86,4100.0,Shipped,1,17,2,2022,S18_3856,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Bergenville,65.0,Vintage Cars,105,Giovanni Rovelli,1435.0,5.0,4.761904761904762
10106,41,83.44,18,3421.04,3421.04,Shipped,1,17,2,2022,S18_3029,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,EMEA,Bergenville,54.236,Ships,86,Giovanni Rovelli,1197.364,2.5600000000000023,2.9767441860465143
10107,21,100.0,1,3036.6,2100.0,Shipped,1,24,2,2022,S12_2823,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,NorthA,Bergenville,65.0,Motorcycles,150,Kwai Yu,735.0,50.0,33.33333333333333
10107,30,95.7,2,2871.0,2871.0,Shipped,1,24,2,2022,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,NorthA,Skates Road,62.205,Motorcycles,95,Kwai Yu,1004.8500000000001,-0.7000000000000028,-0.736842105263161
10107,25,100.0,3,2845.75,2500.0,Shipped,1,24,2,2022,S24_1578,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,NorthA,Skates Road,65.0,Motorcycles,112,Kwai Yu,875.0,12.0,10.714285714285714
10107,27,100.0,4,6065.55,2700.0,Shipped,1,24,2,2022,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,NorthA,Bergenville,65.0,Motorcycles,193,Kwai Yu,945.0,93.0,48.18652849740933
10107,39,99.91,5,3896.49,3896.49,Shipped,1,24,2,2022,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,NorthA,Bergenville,64.9415,Motorcycles,118,Kwai Yu,1363.7714999999996,18.090000000000003,15.330508474576273
10107,29,70.87,6,2055.23,2055.23,Shipped,1,24,2,2022,S18_2625,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,NorthA,Skates Road,46.0655,Motorcycles,60,Kwai Yu,719.3305000000001,-10.870000000000005,-18.116666666666674
10107,38,83.03,7,3155.14,3155.14,Shipped,1,24,2,2022,S24_2000,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,NorthA,Bergenville,53.9695,Motorcycles,76,Kwai Yu,1104.2990000000002,-7.030000000000001,-9.250000000000002
10107,20,92.9,8,1858.0,1858.0,Shipped,1,24,2,2022,S32_1374,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,NorthA,Skates Road,60.385,Motorcycles,99,Kwai Yu,650.3000000000002,6.099999999999994,6.161616161616156
10108,40,100.0,1,5448.8,4000.0,Shipped,1,3,3,2022,S24_3856,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Bergenville,65.0,Classic Cars,140,Arnold Cruz,1400.0,40.0,28.57142857142857
10108,38,82.39,2,3130.82,3130.82,Shipped,1,3,3,2022,S18_1889,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Bergenville,53.5535,Classic Cars,77,Arnold Cruz,1095.787,-5.390000000000001,-7.000000000000001
10108,36,100.0,3,3731.04,3600.0,Shipped,1,3,3,2022,S12_4675,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Bergenville,65.0,Classic Cars,115,Arnold Cruz,1260.0,15.0,13.043478260869565
10108,45,100.0,4,6130.35,4500.0,Shipped,1,3,3,2022,S12_3380,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Bergenville,65.0,Classic Cars,117,Arnold Cruz,1575.0,17.0,14.529914529914532
10108,30,63.07,5,1892.1,1892.1,Shipped,1,3,3,2022,S24_3371,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Skates Road,40.9955,Classic Cars,61,Arnold Cruz,662.235,-2.0700000000000003,-3.39344262295082
10108,33,100.0,6,5265.15,3300.0,Shipped,1,3,3,2022,S12_1099,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Bergenville,65.0,Classic Cars,194,Arnold Cruz,1155.0,94.0,48.45360824742268
10108,39,89.38,7,3485.82,3485.8199999999997,Shipped,1,3,3,2022,S12_3990,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Bergenville,58.097,Classic Cars,79,Arnold Cruz,1220.0369999999998,-10.379999999999995,-13.13924050632911
10108,29,100.0,8,4049.56,2900.0,Shipped,1,3,3,2022,S18_3482,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Bergenville,65.0,Classic Cars,146,Arnold Cruz,1015.0,46.0,31.506849315068493
10108,26,68.35,9,1777.1,1777.1,Shipped,1,3,3,2022,S18_3278,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Skates Road,44.4275,Classic Cars,80,Arnold Cruz,621.9849999999998,11.650000000000006,14.562500000000005
10108,31,68.71,10,2130.01,2130.0099999999998,Shipped,1,3,3,2022,S24_4620,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Skates Road,44.6615,Classic Cars,80,Arnold Cruz,745.5034999999999,11.290000000000006,14.112500000000008
10108,44,100.0,11,5565.12,4400.0,Shipped,1,3,3,2022,S18_4721,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Bergenville,65.0,Classic Cars,148,Arnold Cruz,1540.0,48.0,32.432432432432435
10108,43,67.77,12,2914.11,2914.1099999999997,Shipped,1,3,3,2022,S18_3782,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Skates Road,44.0505,Motorcycles,62,Arnold Cruz,1019.9384999999999,-5.769999999999996,-9.306451612903219
10108,27,43.45,13,1173.15,1173.15,Shipped,1,3,3,2022,S32_2206,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Skates Road,28.2425,Motorcycles,40,Arnold Cruz,410.6025000000001,-3.450000000000003,-8.625000000000007
10108,34,82.99,14,2821.66,2821.66,Shipped,1,3,3,2022,S50_4713,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Skates Road,53.9435,Motorcycles,81,Arnold Cruz,987.5809999999998,-1.9899999999999949,-2.4567901234567837
10108,35,58.87,15,2060.45,2060.45,Shipped,1,3,3,2022,S24_2360,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Skates Road,38.2655,Motorcycles,69,Arnold Cruz,721.1574999999998,10.130000000000003,14.681159420289857
10108,31,100.0,16,3669.78,3100.0,Shipped,1,3,3,2022,S32_4485,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Japan,Bergenville,65.0,Motorcycles,102,Arnold Cruz,1085.0,2.0,1.9607843137254901
